,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
438,Daniel Theis,C,28,BOS,12,10,22.2,3.3,5.8,.580,0.5,1.9,.261,2.8,3.8,.739,.623,0.3,0.8,.333,1.3,3.9,5.2,1.3,0.3,0.8,1.1,2.3,7.4
439,Brodric Thomas,SG,24,HOU,3,0,6.3,0.3,1.7,.200,0.0,1.3,.000,0.3,0.3,1.000,.200,1.0,1.7,.600,0.3,0.7,1.0,1.3,0.0,0.0,1.0,1.7,1.7
440,Matt Thomas,SG,26,TOR,4,0,12.3,2.0,4.5,.444,1.8,3.3,.538,0.3,1.3,.200,.639,0.3,0.3,1.000,0.0,1.3,1.3,1.3,0.5,0.0,0.3,0.5,6.0
441,Tristan Thompson,PF,29,BOS,10,10,23.1,3.0,6.1,.492,0.0,0.0,,3.0,6.1,.492,.492,1.4,2.2,.636,3.1,5.4,8.5,0.7,0.4,0.8,1.4,2.5,7.4
442,Sindarius Thornwell,SG,26,NOP,3,1,9.7,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,0.0,0.0,,0.0,0.7,0.7,0.0,1.3,0.0,0.0,0.7,0.7
443,Matisse Thybulle,SG,23,PHI,11,0,13.5,1.1,3.1,.353,0.6,2.2,.292,0.5,0.9,.500,.456,0.3,0.5,.600,0.1,1.3,1.4,0.8,1.1,0.7,0.4,1.4,3.1
444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Xavier Tillman Sr.,PF,22,MEM,7,0,19.6,3.9,7.0,.551,0.1,1.1,.125,3.7,5.9,.634,.561,0.3,0.3,1.000,1.0,2.6,3.6,1.7,1.3,0.6,0.3,1.7,8.1
446,Obi Toppin,PF,22,NYK,4,0,12.8,2.0,5.5,.364,1.3,3.0,.417,0.8,2.5,.300,.477,0.5,0.5,1.000,0.3,2.8,3.0,0.8,0.5,0.8,0.5,0.3,5.8
447,Juan Toscano-Anderson,SG,27,GSW,6,2,15.0,1.2,1.5,.778,0.3,0.7,.500,0.8,0.8,1.000,.889,0.5,0.8,.600,0.2,3.2,3.3,1.8,0.3,0.7,0.8,1.7,3.2
448,Karl-Anthony Towns,C,25,MIN,4,4,33.0,7.3,15.8,.460,1.5,4.0,.375,5.8,11.8,.489,.508,6.0,6.3,.960,4.0,8.5,12.5,4.3,0.5,2.8,2.5,2.8,22.0
449,Gary Trent Jr.,SG,22,POR,11,0,24.4,4.2,9.3,.451,2.5,5.5,.443,1.7,3.7,.463,.583,0.7,1.1,.667,0.3,1.4,1.6,1.2,0.4,0.1,0.5,1.5,11.5
450,P.J. Tucker,PF,35,HOU,11,11,32.4,1.9,4.3,.447,1.4,3.0,.455,0.5,1.3,.429,.606,0.6,0.8,.778,1.0,4.0,5.0,1.5,1.2,0.9,1.4,3.4,5.8
451,Myles Turner,C,24,IND,12,12,31.7,4.6,9.8,.470,1.3,4.4,.283,3.3,5.3,.625,.534,2.0,2.7,.750,1.4,5.4,6.8,1.1,1.5,4.2,1.3,3.4,12.4
