,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
130,CJ Elleby,SF,20,POR,6,0,5.7,0.8,1.3,.625,0.3,0.8,.400,0.5,0.5,1.000,.750,0.3,0.5,.667,0.2,0.2,0.3,0.3,0.0,0.2,0.2,1.2,2.3
131,Wayne Ellington,SG,33,DET,7,4,17.6,3.0,6.3,.477,1.9,4.6,.406,1.1,1.7,.667,.625,0.1,0.1,1.000,0.4,1.3,1.7,0.4,0.3,0.4,0.4,1.6,8.0
132,Joel Embiid,C,26,PHI,11,11,31.3,8.2,15.3,.536,1.2,3.0,.394,7.0,12.3,.570,.574,7.5,8.8,.845,1.6,9.8,11.5,2.9,1.4,1.5,3.2,2.1,25.0
133,James Ennis,SF,30,ORL,6,5,16.8,1.5,4.0,.375,0.2,1.3,.125,1.3,2.7,.500,.396,0.7,0.7,1.000,0.7,1.5,2.2,0.8,0.8,0.2,1.2,1.8,3.8
134,Drew Eubanks,PF,23,SAS,3,0,19.3,1.0,4.3,.231,0.0,0.0,,1.0,4.3,.231,.231,1.0,1.3,.750,0.3,4.0,4.3,0.3,0.3,2.0,0.3,2.3,3.0
135,Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
136,Tacko Fall,C,25,BOS,3,0,11.0,1.7,2.3,.714,0.0,0.0,,1.7,2.3,.714,.714,0.7,1.3,.500,1.0,3.3,4.3,0.0,0.0,2.0,0.0,1.7,4.0
137,Derrick Favors,C,29,UTA,13,0,16.2,2.5,4.2,.582,0.0,0.0,,2.5,4.2,.582,.582,0.8,1.2,.667,1.8,3.8,5.6,1.1,0.4,1.2,0.5,2.5,5.7
138,Cristiano Felício,C,28,CHI,1,0,6.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,2.0,.000,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
139,Terrance Ferguson,SG,22,PHI,5,0,3.6,0.0,0.6,.000,0.0,0.6,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.4,0.0
140,Bruno Fernando,C,22,ATL,8,0,11.1,0.8,1.8,.429,0.0,0.3,.000,0.8,1.5,.500,.429,0.3,0.6,.400,1.1,3.5,4.6,0.8,0.3,0.1,1.3,1.1,1.8
141,Yogi Ferrell,G,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
142,Dorian Finney-Smith,PF,27,DAL,8,8,29.4,3.4,8.1,.415,1.8,5.4,.326,1.6,2.8,.591,.523,0.8,0.9,.857,1.4,3.6,5.0,1.0,1.4,0.6,0.5,3.0,9.3
143,Malachi Flynn,PG,22,TOR,8,0,9.8,1.0,3.6,.276,0.5,2.0,.250,0.5,1.6,.308,.345,0.0,0.0,,0.0,0.9,0.9,1.3,0.4,0.0,0.3,0.9,2.5
144,Bryn Forbes,SG,27,MIL,13,0,17.1,2.8,6.3,.451,1.6,3.8,.429,1.2,2.5,.485,.579,0.5,0.8,.600,0.2,0.9,1.1,0.4,0.3,0.0,0.8,1.2,7.8
145,Trent Forrest,PG,22,UTA,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.0,1.000,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Evan Fournier,SF,28,ORL,5,5,25.4,4.6,9.0,.511,1.6,4.6,.348,3.0,4.4,.682,.600,4.0,4.6,.870,0.4,1.2,1.6,2.0,1.4,0.0,1.8,2.6,14.8
148,De'Aaron Fox,PG,23,SAC,14,14,30.7,7.4,15.5,.475,1.4,4.1,.345,5.9,11.4,.522,.521,4.4,6.1,.709,0.6,2.3,2.9,5.8,1.5,0.6,3.0,2.3,20.5
149,Tim Frazier,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
150,Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
151,Daniel Gafford,PF,22,CHI,11,0,13.8,2.0,2.7,.733,0.0,0.0,,2.0,2.7,.733,.733,1.3,2.0,.636,0.9,1.4,2.3,0.5,0.6,1.2,0.5,1.9,5.3
152,Danilo Gallinari,PF,32,ATL,2,1,14.0,3.0,4.0,.750,1.0,1.5,.667,2.0,2.5,.800,.875,2.0,2.0,1.000,0.0,2.5,2.5,1.5,0.0,0.0,1.5,1.0,9.0
153,Langston Galloway,SG,29,PHO,11,0,9.5,1.5,3.4,.459,1.2,2.5,.481,0.4,0.9,.400,.635,0.6,0.6,1.000,0.3,0.6,0.9,0.4,0.0,0.0,0.2,0.4,4.9
154,Darius Garland,PG,21,CLE,6,6,35.8,6.7,14.7,.455,2.5,5.3,.469,4.2,9.3,.446,.540,1.3,1.5,.889,0.5,2.8,3.3,6.3,1.3,0.3,3.0,3.2,17.2
155,Marc Gasol,C,36,LAL,14,14,19.7,1.4,3.1,.465,0.6,1.5,.381,0.9,1.6,.545,.558,1.0,1.1,.875,1.1,3.9,5.0,2.1,0.5,1.6,1.3,2.9,4.4
156,Rudy Gay,PF,34,SAS,13,0,22.5,4.2,10.1,.420,1.5,4.6,.317,2.8,5.5,.507,.492,0.8,1.1,.714,0.9,4.5,5.4,1.5,0.8,0.8,1.0,2.1,10.7
157,Paul George,SF,30,LAC,13,13,34.5,8.1,15.8,.510,4.1,8.0,.510,4.0,7.8,.510,.638,4.6,5.0,.923,0.6,5.5,6.2,5.1,1.2,0.5,3.8,2.2,24.8
