GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,file_name
0022000002,1610612747,LAL,Los Angeles,201188,Marc Gasol,C,,12:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,-8.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203484,Kentavious Caldwell-Pope,G,,23:03,2.0,4.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,-9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,203471,Dennis Schroder,G,,27:48,5.0,15.0,0.333,2.0,5.0,0.4,2.0,4.0,0.5,1.0,11.0,12.0,8.0,0.0,0.0,1.0,4.0,14.0,-10.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626149,Montrezl Harrell,,,32:15,6.0,7.0,0.857,0.0,0.0,0.0,5.0,7.0,0.714,4.0,6.0,10.0,3.0,0.0,1.0,1.0,1.0,17.0,-3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202083,Wesley Matthews,,,11:06,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-18.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628398,Kyle Kuzma,,,26:38,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,15.0,1.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,202693,Markieff Morris,,,19:00,1.0,3.0,0.333,1.0,2.0,0.5,2.0,3.0,0.667,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,14.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1627936,Alex Caruso,,,16:40,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1629659,Talen Horton-Tucker,,,10:51,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,6.0,7.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1626188,Quinn Cook,,,1:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,201162,Jared Dudley,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612747,LAL,Los Angeles,1628035,Alfonzo McKinnie,,DNP - Coach's Decision                  ,,,,,,,,,,,,,,,,,,,,,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,202695,Kawhi Leonard,F,,34:00,10.0,26.0,0.385,1.0,8.0,0.125,5.0,5.0,1.0,0.0,2.0,2.0,3.0,2.0,0.0,3.0,5.0,26.0,1.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,201587,Nicolas Batum,F,,28:10,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,1.0,5.0,6.0,6.0,2.0,0.0,1.0,2.0,3.0,-2.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,201586,Serge Ibaka,C,,20:32,5.0,7.0,0.714,2.0,3.0,0.667,3.0,5.0,0.6,2.0,4.0,6.0,0.0,0.0,1.0,1.0,3.0,15.0,-8.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,202331,Paul George,G,,35:46,13.0,18.0,0.722,5.0,8.0,0.625,2.0,2.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,5.0,3.0,33.0,17.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,201976,Patrick Beverley,G,,22:07,4.0,9.0,0.444,2.0,5.0,0.4,0.0,0.0,0.0,4.0,2.0,6.0,3.0,0.0,0.0,2.0,4.0,10.0,10.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,1627826,Ivica Zubac,,,26:31,4.0,5.0,0.8,0.0,0.0,0.0,3.0,4.0,0.75,3.0,3.0,6.0,1.0,1.0,1.0,1.0,4.0,11.0,17.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,202335,Patrick Patterson,,,19:37,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,3.0,9.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,101150,Lou Williams,,,25:56,4.0,9.0,0.444,2.0,4.0,0.5,1.0,3.0,0.333,0.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,11.0,1.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,1628379,Luke Kennard,,,21:03,2.0,6.0,0.333,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,-3.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,1629611,Terance Mann,,,1:03,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,nba_DFs/player_bs_trad_2020-12-22.csv
0022000002,1610612746,LAC,LA,202704,Reggie Jackson,,,3:21,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,nba_DFs/player_bs_trad_2020-12-22.csv
